,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
9521,HD004528/1,HD004528,domo Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
9561,HD004548/1,HD004548,natione Aquincense+*,Aquincense,,,,,
9580,HD004558/1,HD004558,Iuvavo*,Iuvavo,,,,,
9602,HD004567/1,HD004567,Tergeste*,Tergeste,187578.0,['Tergeste'],45.649148,13.7717,Tergeste
9609,HD004571/1,HD004571,Narbonensis,Narbonensis,148141.0,['Narbonensis'],44.1116492349,4.67666937391,Narbonensis (region)
9621,HD004576/1,HD004576,Astypalae*,Astypalae,,,,,
9633,HD004583/1,HD004583,Frentranus,Frentranus,,,,,
9635,HD004585/1,HD004585,Avennio*,Avennio,148004.0,['Avennio'],43.950668,4.806612,Avennio
9640,HD004588/1,HD004588,Camunnus*,Camunnus,,,,,
9643,HD004591/1,HD004591,Tolosa*,Tolosa,246694.0,['Tolosa'],43.604175,1.443246,Tolosa
9648,HD004594/1,HD004594,Savaria*,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
9659,HD004600/1,HD004600,[---]a Ara,[---]a Ara,,,,,
9734,HD004642/1,HD004642,civis Suebus Nicrensis*,Suebus Nicrensis,,,,,
9735,HD004642/2,HD004642,civis Suebus Nicrensis*,Suebus Nicrensis,,,,,
9764,HD004657/1,HD004657,Thusdritanus+,Thusdritanus,,,,,
9790,HD004675/1,HD004675,Luna,Luna,403235.0,['Luna'],44.064253,10.016856,Luna
9810,HD004684/1,HD004684,natione Saleta+,Saleta,,,,,
9878,HD004732/2,HD004732,Viruno*,Viruno,,,,,
9892,HD004741/1,HD004741,Icositanus*,Icositanus,,,,,
10010,HD004807/1,HD004807,Volubilitanus,Volubilitanus,,,,,
10015,HD004810/1,HD004810,Volubilitanus,Volubilitanus,,,,,
10165,HD004826/1,HD004826,natione* Hispanus,Hispanus,,,,,
10185,HD004841/1,HD004841,Ulisitanus,Ulisitanus,,,,,
10200,HD004853/1,HD004853,Cremona,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
10208,HD004855/6,HD004855,Breucus,Breucus,,,,,
10210,HD004855/8,HD004855,Emoniensis,Emoniensis,,,,,
10211,HD004855/9,HD004855,Aquileiensis,Aquileiensis,,,,,
10212,HD004855/10,HD004855,Aquileiensis,Aquileiensis,,,,,
10213,HD004855/11,HD004855,Aquileiensis,Aquileiensis,,,,,
10214,HD004855/12,HD004855,Emoniensis,Emoniensis,,,,,
10215,HD004855/13,HD004855,Aquileiensis,Aquileiensis,,,,,
10216,HD004855/14,HD004855,Aquileiensis,Aquileiensis,,,,,
10241,HD004867/1,HD004867,Costobius+,Costobius,,,,,
10242,HD004868/1,HD004868,civis Tolosianus,Tolosianus,,,,,
10363,HD004939/1,HD004939,Savaria*,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
10530,HD005031/1,HD005031,natione* Thracia+ Ulpia Tonzo,Thracia Ulpia Tonzo,,,,,
10616,HD005115/2,HD005115,Corinthum (= Corintho),Corintho,,,,,
10650,HD005151/1,HD005151,Urcitano+ ex Hispania* citerio,Urcitano Hispania citerio,,,,,
10651,HD005160/1,HD005160,Tergeste,Tergeste,187578.0,['Tergeste'],45.649148,13.7717,Tergeste
10655,HD005163/1,HD005163,Opitergi,Opitergi,,,,,
10659,HD005166/1,HD005166,Belluno*,Belluno,,,,,
10666,HD005169/1,HD005169,Acelae (= Acele),Acele,,,,,
10670,HD005172/1,HD005172,Acele,Acele,,,,,
10672,HD005175/1,HD005175,Tridente,Tridente,,,,,
10743,HD005228/1,HD005228,natione Aegyptus*,Aegyptus,766.0,['Aegyptus'],,,Aegyptus (Roman imperial province)
10749,HD005231/1,HD005231,natione Delmata+*,Delmata,,,,,
11065,HD005641/1,HD005641,Foro Iuli,Foro Iuli,,,,,
11295,HD005686/1,HD005686,Luco+ Augusti*,Luco Augusti,,,,,
11394,HD005797/1,HD005797,Forum* Claudi*,Forum Claudi,,,,,
11427,HD005818/1,HD005818,Virunum,Virunum,197583.0,['Virunum'],46.6996149,14.3647773,Virunum
11436,HD005824/1,HD005824,cives [---],[---],,,,,
11468,HD005845/3,HD005845,Piceno*,Piceno,,,,,
11469,HD005845/4,HD005845,Britto*,Britto,,,,,
11587,HD005881/1,HD005881,Macedon,Macedon,,,,,
